Date (WET),BELGIUM (BE),FRANCE (FR),GREAT BRITAIN (GB),GREAT BRITAIN (GB - NORDPOOL),ISEM (ISEM),NETHERLANDS (NL),NORWAY (NO2 - SDAC AUCTION),NORWAY (NO2 - NSL AUCTION)
,GBP/MWh,GBP/MWh,GBP/MWh,GBP/MWh,GBP/MWh,GBP/MWh,GBP/MWh,GBP/MWh
[27/05/2021 07:00],82.64,78.48,84.90,82.76,78.82,74.36,46.59,
[27/05/2021 07:30],82.64,78.48,84.90,82.76,78.82,74.36,46.59,
[27/05/2021 08:00],76.27,72.44,97.00,97.55,95.83,68.64,46.53,
[27/05/2021 08:30],76.27,72.44,97.00,97.55,95.83,68.64,46.53,
[27/05/2021 09:00],68.07,68.07,97.00,93.47,89.28,68.07,46.30,
[27/05/2021 09:30],68.07,68.07,97.00,93.47,89.28,68.07,46.30,
[27/05/2021 10:00],67.16,67.16,87.00,82.73,77.54,67.16,45.87,
[27/05/2021 10:30],67.16,67.16,87.00,82.73,77.54,67.16,45.87,
[27/05/2021 11:00],64.47,64.47,83.40,80.09,70.98,64.47,45.65,
[27/05/2021 11:30],64.47,64.47,83.40,80.09,70.98,64.47,45.65,
[27/05/2021 12:00],56.19,56.19,87.60,84.89,71.20,56.19,45.54,
[27/05/2021 12:30],56.19,56.19,87.60,84.89,71.20,56.19,45.54,
[27/05/2021 13:00],52.27,52.27,72.00,75.31,68.31,52.27,45.16,
[27/05/2021 13:30],52.27,52.27,72.00,75.31,68.31,52.27,45.16,
[27/05/2021 14:00],52.00,52.00,71.70,71.49,68.31,52.00,44.64,
[27/05/2021 14:30],52.00,52.00,71.70,71.49,68.31,52.00,44.64,
[27/05/2021 15:00],52.39,52.39,72.00,71.99,69.25,52.39,44.41,
[27/05/2021 15:30],52.39,52.39,72.00,71.99,69.25,52.39,44.41,
[27/05/2021 16:00],59.89,59.89,84.80,80.68,77.54,59.89,44.71,
[27/05/2021 16:30],59.89,59.89,84.80,80.68,77.54,59.89,44.71,
[27/05/2021 17:00],68.78,68.78,101.60,102.06,99.55,68.78,44.85,
[27/05/2021 17:30],68.78,68.78,101.60,102.06,99.55,68.78,44.85,
[27/05/2021 18:00],73.97,73.97,114.00,114.91,111.67,73.97,45.13,
[27/05/2021 18:30],73.97,73.97,114.00,114.91,111.67,73.97,45.13,
[27/05/2021 19:00],76.45,76.45,110.00,107.50,106.34,76.45,45.27,
[27/05/2021 19:30],76.45,76.45,110.00,107.50,106.34,76.45,45.27,
[27/05/2021 20:00],73.90,73.90,99.00,102.27,98.10,73.90,45.08,
[27/05/2021 20:30],73.90,73.90,99.00,102.27,98.10,73.90,45.08,
[27/05/2021 21:00],72.29,72.29,90.00,97.32,93.14,72.29,44.58,
[27/05/2021 21:30],72.29,72.29,90.00,97.32,93.14,72.29,44.58,
[27/05/2021 22:00],68.57,68.57,80.00,80.91,77.91,68.57,42.66,
[27/05/2021 22:30],68.57,68.57,80.00,80.91,77.91,68.57,42.66,
[27/05/2021 23:00],61.37,61.37,76.00,79.00,74.60,61.37,41.71,
[27/05/2021 23:30],61.37,61.37,76.00,79.00,74.60,61.37,41.71,
[28/05/2021 00:00],54.19,54.19,70.00,67.95,70.60,54.19,41.26,
[28/05/2021 00:30],54.19,54.19,70.00,67.95,70.60,54.19,41.26,
[28/05/2021 01:00],52.92,52.92,67.00,66.03,68.00,52.92,40.80,
[28/05/2021 01:30],52.92,52.92,67.00,66.03,68.00,52.92,40.80,
[28/05/2021 02:00],53.30,53.30,69.00,66.05,68.40,53.30,40.74,
[28/05/2021 02:30],53.30,53.30,69.00,66.05,68.40,53.30,40.74,
[28/05/2021 03:00],55.55,55.55,67.15,65.57,68.10,55.55,40.89,
[28/05/2021 03:30],55.55,55.55,67.15,65.57,68.10,55.55,40.89,
[28/05/2021 04:00],58.37,58.37,66.00,65.58,68.00,58.37,42.10,
[28/05/2021 04:30],58.37,58.37,66.00,65.58,68.00,58.37,42.10,
[28/05/2021 05:00],69.91,69.91,70.00,70.90,68.90,69.91,45.51,
[28/05/2021 05:30],69.91,69.91,70.00,70.90,68.90,69.91,45.51,
[28/05/2021 06:00],79.92,79.92,78.00,80.13,76.60,79.92,46.85,
[28/05/2021 06:30],79.92,79.92,78.00,80.13,76.60,79.92,46.85,
[28/05/2021 07:00],79.42,79.42,84.85,82.07,101.90,79.42,47.70,
[28/05/2021 07:30],79.42,79.42,84.85,82.07,101.90,79.42,47.70,
[28/05/2021 08:00],72.51,72.51,96.50,97.22,138.20,72.51,47.20,
[28/05/2021 08:30],72.51,72.51,96.50,97.22,138.20,72.51,47.20,
[28/05/2021 09:00],66.02,66.07,99.90,99.96,142.30,48.08,46.54,
[28/05/2021 09:30],66.02,66.07,99.90,99.96,142.30,48.08,46.54,
[28/05/2021 10:00],65.31,65.31,94.70,97.99,140.80,47.30,45.79,
[28/05/2021 10:30],65.31,65.31,94.70,97.99,140.80,47.30,45.79,
[28/05/2021 11:00],62.98,62.98,92.40,97.40,139.80,62.98,45.53,
[28/05/2021 11:30],62.98,62.98,92.40,97.40,139.80,62.98,45.53,
[28/05/2021 12:00],52.08,52.08,95.70,99.53,141.90,52.08,46.66,
[28/05/2021 12:30],52.08,52.08,95.70,99.53,141.90,52.08,46.66,
[28/05/2021 13:00],50.13,50.13,79.00,79.00,129.50,50.13,45.17,
[28/05/2021 13:30],50.13,50.13,79.00,79.00,129.50,50.13,45.17,
[28/05/2021 14:00],51.56,51.56,71.90,75.20,112.90,51.56,44.42,
[28/05/2021 14:30],51.56,51.56,71.90,75.20,112.90,51.56,44.42,
[28/05/2021 15:00],52.43,52.43,73.00,75.50,104.90,52.43,43.80,
[28/05/2021 15:30],52.43,52.43,73.00,75.50,104.90,52.43,43.80,
[28/05/2021 16:00],61.95,61.95,85.00,90.00,115.00,61.95,44.17,
[28/05/2021 16:30],61.95,61.95,85.00,90.00,115.00,61.95,44.17,
[28/05/2021 17:00],67.02,67.02,100.00,104.99,124.40,67.02,44.99,
[28/05/2021 17:30],67.02,67.02,100.00,104.99,124.40,67.02,44.99,
[28/05/2021 18:00],71.90,71.90,106.00,108.40,121.40,71.90,44.86,
[28/05/2021 18:30],71.90,71.90,106.00,108.40,121.40,71.90,44.86,
[28/05/2021 19:00],71.24,71.24,101.10,101.00,109.80,71.24,44.64,
[28/05/2021 19:30],71.24,71.24,101.10,101.00,109.80,71.24,44.64,
[28/05/2021 20:00],68.83,68.83,94.80,94.99,103.60,68.83,44.59,
[28/05/2021 20:30],68.83,68.83,94.80,94.99,103.60,68.83,44.59,
[28/05/2021 21:00],68.77,68.77,86.00,86.00,94.50,68.77,43.71,
[28/05/2021 21:30],68.77,68.77,86.00,86.00,94.50,68.77,43.71,
[28/05/2021 22:00],64.95,64.95,78.10,72.97,81.30,64.95,42.66,
[28/05/2021 22:30],64.95,64.95,78.10,72.97,81.30,64.95,42.66,
[28/05/2021 23:00],60.92,60.92,80.00,80.00,81.24,60.92,44.13,
[28/05/2021 23:30],60.92,60.92,80.00,80.00,81.24,60.92,44.13,
[29/05/2021 00:00],58.75,58.75,67.00,72.72,72.84,58.75,44.16,
[29/05/2021 00:30],58.75,58.75,67.00,72.72,72.84,58.75,44.16,
[29/05/2021 01:00],57.63,57.63,67.00,66.97,70.83,57.63,44.11,
[29/05/2021 01:30],57.63,57.63,67.00,66.97,70.83,57.63,44.11,
[29/05/2021 02:00],55.66,55.66,66.00,69.17,70.36,55.66,44.15,
[29/05/2021 02:30],55.66,55.66,66.00,69.17,70.36,55.66,44.15,
[29/05/2021 03:00],55.07,55.07,65.80,68.69,69.50,55.07,44.22,
[29/05/2021 03:30],55.07,55.07,65.80,68.69,69.50,55.07,44.22,
[29/05/2021 04:00],53.64,53.64,61.10,64.76,66.85,53.64,44.23,
[29/05/2021 04:30],53.64,53.64,61.10,64.76,66.85,53.64,44.23,
[29/05/2021 05:00],54.80,54.80,61.10,63.61,64.87,54.80,44.11,
[29/05/2021 05:30],54.80,54.80,61.10,63.61,64.87,54.80,44.11,
[29/05/2021 06:00],55.78,55.78,68.88,62.09,66.38,55.78,44.50,
[29/05/2021 06:30],55.78,55.78,68.88,62.09,66.38,55.78,44.50,
[29/05/2021 07:00],55.85,55.85,64.10,73.10,77.39,55.85,44.76,
[29/05/2021 07:30],55.85,55.85,64.10,73.10,77.39,55.85,44.76,
[29/05/2021 08:00],54.94,54.94,77.00,82.90,92.90,54.94,45.90,
[29/05/2021 08:30],54.94,54.94,77.00,82.90,92.90,54.94,45.90,
[29/05/2021 09:00],50.24,50.24,91.00,94.08,112.00,50.24,44.65,
[29/05/2021 09:30],50.24,50.24,91.00,94.08,112.00,50.24,44.65,
[29/05/2021 10:00],44.86,44.86,87.58,91.73,121.30,44.86,43.42,
[29/05/2021 10:30],44.86,44.86,87.58,91.73,121.30,44.86,43.42,
[29/05/2021 11:00],41.21,41.21,77.00,82.65,103.83,41.21,40.55,
[29/05/2021 11:30],41.21,41.21,77.00,82.65,103.83,41.21,40.55,
[29/05/2021 12:00],26.66,26.66,77.80,79.93,99.93,26.66,28.08,
[29/05/2021 12:30],26.66,26.66,77.80,79.93,99.93,26.66,28.08,
[29/05/2021 13:00],12.90,12.90,60.00,63.01,85.36,12.90,19.31,
[29/05/2021 13:30],12.90,12.90,60.00,63.01,85.36,12.90,19.31,
[29/05/2021 14:00],13.60,13.60,60.00,61.94,78.08,13.60,23.95,
[29/05/2021 14:30],13.60,13.60,60.00,61.94,78.08,13.60,23.95,
[29/05/2021 15:00],24.29,24.29,60.00,62.94,76.11,24.29,25.86,
[29/05/2021 15:30],24.29,24.29,60.00,62.94,76.11,24.29,25.86,
[29/05/2021 16:00],39.48,39.48,60.00,62.94,76.78,39.48,39.64,
[29/05/2021 16:30],39.48,39.48,60.00,62.94,76.78,39.48,39.64,
[29/05/2021 17:00],49.88,49.88,80.00,84.91,100.94,49.88,44.27,
[29/05/2021 17:30],49.88,49.88,80.00,84.91,100.94,49.88,44.27,
[29/05/2021 18:00],58.35,58.35,93.63,92.37,105.12,58.35,46.03,
[29/05/2021 18:30],58.35,58.35,93.63,92.37,105.12,58.35,46.03,
[29/05/2021 19:00],61.74,61.74,92.00,94.66,101.32,61.74,45.29,
[29/05/2021 19:30],61.74,61.74,92.00,94.66,101.32,61.74,45.29,
[29/05/2021 20:00],61.89,61.89,88.00,91.77,96.06,61.89,45.59,
[29/05/2021 20:30],61.89,61.89,88.00,91.77,96.06,61.89,45.59,
[29/05/2021 21:00],63.75,61.72,81.00,91.00,91.55,68.74,44.68,
[29/05/2021 21:30],63.75,61.72,81.00,91.00,91.55,68.74,44.68,
[29/05/2021 22:00],56.83,56.71,66.00,80.93,78.08,60.14,44.06,
[29/05/2021 22:30],56.83,56.71,66.00,80.93,78.08,60.14,44.06,
[29/05/2021 23:00],51.47,51.47,83.75,87.89,88.88,51.47,43.29,
[29/05/2021 23:30],51.47,51.47,83.75,87.89,88.88,51.47,43.29,
[30/05/2021 00:00],47.32,47.32,73.50,79.00,81.13,47.32,43.34,
[30/05/2021 00:30],47.32,47.32,73.50,79.00,81.13,47.32,43.34,
[30/05/2021 01:00],43.53,43.53,73.50,75.00,77.02,43.53,42.14,
[30/05/2021 01:30],43.53,43.53,73.50,75.00,77.02,43.53,42.14,
[30/05/2021 02:00],42.02,42.02,68.00,70.00,71.06,42.02,40.77,
[30/05/2021 02:30],42.02,42.02,68.00,70.00,71.06,42.02,40.77,
[30/05/2021 03:00],27.10,23.28,61.00,71.99,67.09,42.08,40.74,
[30/05/2021 03:30],27.10,23.28,61.00,71.99,67.09,42.08,40.74,
[30/05/2021 04:00],33.60,15.17,59.00,69.91,65.63,40.91,39.60,
[30/05/2021 04:30],33.60,15.17,59.00,69.91,65.63,40.91,39.60,
[30/05/2021 05:00],34.72,17.20,58.00,62.25,60.76,39.79,38.35,
[30/05/2021 05:30],34.72,17.20,58.00,62.25,60.76,39.79,38.35,
[30/05/2021 06:00],36.19,34.96,61.00,62.27,61.61,38.16,36.94,
[30/05/2021 06:30],36.19,34.96,61.00,62.27,61.61,38.16,36.94,
[30/05/2021 07:00],33.86,33.86,67.00,64.05,66.69,33.86,32.77,
[30/05/2021 07:30],33.86,33.86,67.00,64.05,66.69,33.86,32.77,
[30/05/2021 08:00],27.46,27.46,81.00,69.00,75.56,27.46,27.46,
[30/05/2021 08:30],27.46,27.46,81.00,69.00,75.56,27.46,27.46,
[30/05/2021 09:00],15.12,15.12,82.00,72.43,84.03,15.12,18.18,
[30/05/2021 09:30],15.12,15.12,82.00,72.43,84.03,15.12,18.18,
[30/05/2021 10:00],6.87,6.87,82.00,66.06,84.50,6.87,16.12,
[30/05/2021 10:30],6.87,6.87,82.00,66.06,84.50,6.87,16.12,
[30/05/2021 11:00],5.22,5.22,76.00,59.76,73.94,5.22,15.26,
[30/05/2021 11:30],5.22,5.22,76.00,59.76,73.94,5.22,15.26,
[30/05/2021 12:00],-2.62,-2.62,80.00,61.32,73.36,-2.62,14.67,
[30/05/2021 12:30],-2.62,-2.62,80.00,61.32,73.36,-2.62,14.67,
[30/05/2021 13:00],-14.49,-14.49,65.00,56.10,66.69,-14.49,13.06,
[30/05/2021 13:30],-14.49,-14.49,65.00,56.10,66.69,-14.49,13.06,
[30/05/2021 14:00],-8.51,-8.51,59.00,56.07,63.12,-8.51,13.85,
[30/05/2021 14:30],-8.51,-8.51,59.00,56.07,63.12,-8.51,13.85,
[30/05/2021 15:00],-0.80,-0.80,57.00,57.06,58.34,-0.80,18.34,
[30/05/2021 15:30],-0.80,-0.80,57.00,57.06,58.34,-0.80,18.34,
[30/05/2021 16:00],8.59,11.32,61.00,58.92,63.04,15.39,23.36,
[30/05/2021 16:30],8.59,11.32,61.00,58.92,63.04,15.39,23.36,
[30/05/2021 17:00],31.73,30.29,72.00,64.18,68.65,43.19,39.10,
[30/05/2021 17:30],31.73,30.29,72.00,64.18,68.65,43.19,39.10,
[30/05/2021 18:00],53.67,52.33,86.00,80.52,84.58,58.17,41.87,
[30/05/2021 18:30],53.67,52.33,86.00,80.52,84.58,58.17,41.87,
[30/05/2021 19:00],55.11,48.23,93.40,93.66,94.04,67.09,43.30,
[30/05/2021 19:30],55.11,48.23,93.40,93.66,94.04,67.09,43.30,
[30/05/2021 20:00],61.20,57.33,84.00,89.90,87.45,68.13,44.25,
[30/05/2021 20:30],61.20,57.33,84.00,89.90,87.45,68.13,44.25,
[30/05/2021 21:00],62.96,61.90,80.40,84.73,83.09,64.82,44.43,
[30/05/2021 21:30],62.96,61.90,80.40,84.73,83.09,64.82,44.43,
[30/05/2021 22:00],56.77,56.77,66.00,70.00,68.63,56.77,44.12,
[30/05/2021 22:30],56.77,56.77,66.00,70.00,68.63,56.77,44.12,
[30/05/2021 23:00],51.21,51.21,79.20,84.90,76.34,51.21,44.39,
[30/05/2021 23:30],51.21,51.21,79.20,84.90,76.34,51.21,44.39,
[31/05/2021 00:00],49.24,49.24,68.50,71.58,66.89,49.24,44.35,
[31/05/2021 00:30],49.24,49.24,68.50,71.58,66.89,49.24,44.35,
[31/05/2021 01:00],48.31,48.31,67.80,70.52,64.22,48.31,44.43,
[31/05/2021 01:30],48.31,48.31,67.80,70.52,64.22,48.31,44.43,
[31/05/2021 02:00],47.28,47.28,65.70,65.42,60.97,47.28,44.45,
[31/05/2021 02:30],47.28,47.28,65.70,65.42,60.97,47.28,44.45,
[31/05/2021 03:00],34.37,35.06,64.00,62.16,57.88,52.95,44.44,
[31/05/2021 03:30],34.37,35.06,64.00,62.16,57.88,52.95,44.44,
[31/05/2021 04:00],50.36,50.12,61.00,58.85,55.01,51.46,44.43,
[31/05/2021 04:30],50.36,50.12,61.00,58.85,55.01,51.46,44.43,
[31/05/2021 05:00],65.93,65.93,66.80,70.00,57.85,65.93,44.80,
[31/05/2021 05:30],65.93,65.93,66.80,70.00,57.85,65.93,44.80,
[31/05/2021 06:00],73.88,73.88,75.00,77.50,65.89,73.88,47.06,
[31/05/2021 06:30],73.88,73.88,75.00,77.50,65.89,73.88,47.06,
[31/05/2021 07:00],74.53,74.53,74.10,80.97,77.02,74.53,48.52,
[31/05/2021 07:30],74.53,74.53,74.10,80.97,77.02,74.53,48.52,
[31/05/2021 08:00],66.94,66.94,78.00,79.96,88.27,66.94,47.77,
[31/05/2021 08:30],66.94,66.94,78.00,79.96,88.27,66.94,47.77,
[31/05/2021 09:00],54.46,54.46,79.00,76.22,85.08,54.46,47.25,
[31/05/2021 09:30],54.46,54.46,79.00,76.22,85.08,54.46,47.25,
[31/05/2021 10:00],52.15,52.15,76.00,72.44,78.05,52.15,46.82,
[31/05/2021 10:30],52.15,52.15,76.00,72.44,78.05,52.15,46.82,
[31/05/2021 11:00],50.78,50.78,69.90,64.68,66.69,50.78,46.58,
[31/05/2021 11:30],50.78,50.78,69.90,64.68,66.69,50.78,46.58,
[31/05/2021 12:00],47.48,47.48,71.00,66.70,65.57,47.48,45.96,
[31/05/2021 12:30],47.48,47.48,71.00,66.70,65.57,47.48,45.96,
[31/05/2021 13:00],46.45,46.45,60.00,57.32,56.14,46.45,44.96,
[31/05/2021 13:30],46.45,46.45,60.00,57.32,56.14,46.45,44.96,
[31/05/2021 14:00],47.00,47.00,55.00,55.57,51.80,47.00,45.49,
[31/05/2021 14:30],47.00,47.00,55.00,55.57,51.80,47.00,45.49,
[31/05/2021 15:00],46.35,46.35,54.00,58.06,53.05,46.35,44.86,
[31/05/2021 15:30],46.35,46.35,54.00,58.06,53.05,46.35,44.86,
[31/05/2021 16:00],53.53,53.53,63.00,65.56,61.28,53.53,47.44,
[31/05/2021 16:30],53.53,53.53,63.00,65.56,61.28,53.53,47.44,
[31/05/2021 17:00],65.31,65.31,72.00,68.68,66.82,65.31,49.55,
[31/05/2021 17:30],65.31,65.31,72.00,68.68,66.82,65.31,49.55,
[31/05/2021 18:00],73.16,73.16,82.00,85.10,77.02,73.16,49.29,
[31/05/2021 18:30],73.16,73.16,82.00,85.10,77.02,73.16,49.29,
[31/05/2021 19:00],73.90,73.90,91.20,91.64,81.79,73.90,47.43,
[31/05/2021 19:30],73.90,73.90,91.20,91.64,81.79,73.90,47.43,
[31/05/2021 20:00],70.46,70.46,84.00,85.10,76.55,70.46,47.22,
[31/05/2021 20:30],70.46,70.46,84.00,85.10,76.55,70.46,47.22,
[31/05/2021 21:00],68.66,68.66,81.00,82.08,73.52,68.66,45.71,
[31/05/2021 21:30],68.66,68.66,81.00,82.08,73.52,68.66,45.71,
[31/05/2021 22:00],62.45,62.45,69.90,68.00,65.38,62.45,44.47,
[31/05/2021 22:30],62.45,62.45,69.90,68.00,65.38,62.45,44.47,
[31/05/2021 23:00],53.26,53.26,79.70,72.00,69.10,53.26,48.71,
[31/05/2021 23:30],53.26,53.26,79.70,72.00,69.10,53.26,48.71,
[01/06/2021 00:00],50.65,50.65,65.00,61.56,66.40,50.65,48.47,
[01/06/2021 00:30],50.65,50.65,65.00,61.56,66.40,50.65,48.47,
[01/06/2021 01:00],48.82,48.82,62.00,54.59,64.40,48.82,47.26,
[01/06/2021 01:30],48.82,48.82,62.00,54.59,64.40,48.82,47.26,
[01/06/2021 02:00],48.59,48.59,62.00,56.19,65.40,48.59,47.03,
[01/06/2021 02:30],48.59,48.59,62.00,56.19,65.40,48.59,47.03,
[01/06/2021 03:00],49.21,49.21,60.30,57.60,66.50,49.21,47.63,
[01/06/2021 03:30],49.21,49.21,60.30,57.60,66.50,49.21,47.63,
[01/06/2021 04:00],53.57,53.57,60.70,66.81,71.50,53.57,49.51,
[01/06/2021 04:30],53.57,53.57,60.70,66.81,71.50,53.57,49.51,
[01/06/2021 05:00],67.76,67.50,66.40,68.74,75.40,68.16,46.66,
[01/06/2021 05:30],67.76,67.50,66.40,68.74,75.40,68.16,46.66,
[01/06/2021 06:00],74.13,74.13,73.60,75.71,78.10,74.13,47.92,
[01/06/2021 06:30],74.13,74.13,73.60,75.71,78.10,74.13,47.92,
[01/06/2021 07:00],75.26,75.26,84.40,82.20,92.40,75.26,49.30,
[01/06/2021 07:30],75.26,75.26,84.40,82.20,92.40,75.26,49.30,
[01/06/2021 08:00],67.57,67.57,94.00,99.00,137.30,67.57,48.73,
[01/06/2021 08:30],67.57,67.57,94.00,99.00,137.30,67.57,48.73,
[01/06/2021 09:00],56.12,56.12,96.00,98.06,135.00,56.12,48.51,
[01/06/2021 09:30],56.12,56.12,96.00,98.06,135.00,56.12,48.51,
[01/06/2021 10:00],52.80,52.80,79.00,75.69,130.00,52.80,48.38,
[01/06/2021 10:30],52.80,52.80,79.00,75.69,130.00,52.80,48.38,
[01/06/2021 11:00],50.23,50.23,69.00,66.04,127.70,50.23,47.70,
[01/06/2021 11:30],50.23,50.23,69.00,66.04,127.70,50.23,47.70,
[01/06/2021 12:00],48.49,48.49,70.00,66.23,126.50,48.49,46.92,
[01/06/2021 12:30],48.49,48.49,70.00,66.23,126.50,48.49,46.92,
[01/06/2021 13:00],47.87,47.87,64.00,61.41,107.80,47.87,46.34,
[01/06/2021 13:30],47.87,47.87,64.00,61.41,107.80,47.87,46.34,
[01/06/2021 14:00],49.18,49.18,57.00,57.06,88.80,49.18,46.66,
[01/06/2021 14:30],49.18,49.18,57.00,57.06,88.80,49.18,46.66,
[01/06/2021 15:00],50.23,50.23,57.00,59.20,84.90,50.23,46.66,
[01/06/2021 15:30],50.23,50.23,57.00,59.20,84.90,50.23,46.66,
[01/06/2021 16:00],60.99,60.99,64.00,63.89,84.90,60.99,46.72,
[01/06/2021 16:30],60.99,60.99,64.00,63.89,84.90,60.99,46.72,
[01/06/2021 17:00],68.57,68.57,80.30,85.00,89.80,68.57,46.70,
[01/06/2021 17:30],68.57,68.57,80.30,85.00,89.80,68.57,46.70,
[01/06/2021 18:00],74.92,74.92,94.80,85.89,91.40,74.92,46.71,
[01/06/2021 18:30],74.92,74.92,94.80,85.89,91.40,74.92,46.71,
[01/06/2021 19:00],73.57,73.57,88.00,82.23,87.00,73.57,47.11,
[01/06/2021 19:30],73.57,73.57,88.00,82.23,87.00,73.57,47.11,
[01/06/2021 20:00],69.56,69.56,78.40,71.48,80.00,69.56,47.71,
[01/06/2021 20:30],69.56,69.56,78.40,71.48,80.00,69.56,47.71,
[01/06/2021 21:00],65.08,65.08,69.75,67.82,76.80,65.08,46.71,
[01/06/2021 21:30],65.08,65.08,69.75,67.82,76.80,65.08,46.71,
[01/06/2021 22:00],57.96,57.96,65.00,66.00,70.00,57.96,46.43,
[01/06/2021 22:30],57.96,57.96,65.00,66.00,70.00,57.96,46.43,
[01/06/2021 23:00],56.17,56.17,79.00,77.91,78.30,56.17,47.95,
[01/06/2021 23:30],56.17,56.17,79.00,77.91,78.30,56.17,47.95,
[02/06/2021 00:00],53.03,53.03,65.00,70.04,68.90,53.03,47.72,
[02/06/2021 00:30],53.03,53.03,65.00,70.04,68.90,53.03,47.72,
[02/06/2021 01:00],51.00,51.00,60.00,65.64,66.30,51.00,47.64,
[02/06/2021 01:30],51.00,51.00,60.00,65.64,66.30,51.00,47.64,
[02/06/2021 02:00],51.71,51.71,60.00,65.60,66.30,51.71,47.68,
[02/06/2021 02:30],51.71,51.71,60.00,65.60,66.30,51.71,47.68,
[02/06/2021 03:00],46.43,43.81,58.00,63.49,64.80,50.44,47.67,
[02/06/2021 03:30],46.43,43.81,58.00,63.49,64.80,50.44,47.67,
[02/06/2021 04:00],54.91,54.91,60.00,62.16,64.60,54.91,47.66,
[02/06/2021 04:30],54.91,54.91,60.00,62.16,64.60,54.91,47.66,
[02/06/2021 05:00],57.28,54.47,64.00,65.23,66.30,66.12,47.78,
[02/06/2021 05:30],57.28,54.47,64.00,65.23,66.30,66.12,47.78,
[02/06/2021 06:00],70.32,70.32,74.00,73.94,73.70,70.32,48.02,
[02/06/2021 06:30],70.32,70.32,74.00,73.94,73.70,70.32,48.02,
[02/06/2021 07:00],69.91,69.91,80.50,72.64,86.20,69.91,48.69,
[02/06/2021 07:30],69.91,69.91,80.50,72.64,86.20,69.91,48.69,
[02/06/2021 08:00],62.34,62.34,92.50,96.73,107.00,62.34,47.84,
[02/06/2021 08:30],62.34,62.34,92.50,96.73,107.00,62.34,47.84,
[02/06/2021 09:00],53.81,53.81,91.20,92.83,101.70,53.81,47.55,
[02/06/2021 09:30],53.81,53.81,91.20,92.83,101.70,53.81,47.55,
[02/06/2021 10:00],49.38,49.38,74.70,75.89,87.30,49.38,47.17,
[02/06/2021 10:30],49.38,49.38,74.70,75.89,87.30,49.38,47.17,
[02/06/2021 11:00],48.02,48.02,68.00,67.27,85.30,48.02,46.49,
[02/06/2021 11:30],48.02,48.02,68.00,67.27,85.30,48.02,46.49,
[02/06/2021 12:00],46.55,46.55,68.00,67.27,80.00,46.55,45.06,
[02/06/2021 12:30],46.55,46.55,68.00,67.27,80.00,46.55,45.06,
[02/06/2021 13:00],46.39,46.39,61.00,58.04,69.60,46.39,44.95,
[02/06/2021 13:30],46.39,46.39,61.00,58.04,69.60,46.39,44.95,
[02/06/2021 14:00],46.45,46.45,60.00,59.93,66.50,46.45,44.97,
[02/06/2021 14:30],46.45,46.45,60.00,59.93,66.50,46.45,44.97,
[02/06/2021 15:00],49.01,49.01,61.20,60.05,66.20,49.01,45.67,
[02/06/2021 15:30],49.01,49.01,61.20,60.05,66.20,49.01,45.67,
[02/06/2021 16:00],58.13,58.13,67.30,67.27,71.60,58.13,47.41,
[02/06/2021 16:30],58.13,58.13,67.30,67.27,71.60,58.13,47.41,
[02/06/2021 17:00],67.63,67.63,83.60,89.00,91.30,67.63,47.97,
[02/06/2021 17:30],67.63,67.63,83.60,89.00,91.30,67.63,47.97,
[02/06/2021 18:00],71.82,71.82,86.40,84.87,89.30,71.82,47.92,
[02/06/2021 18:30],71.82,71.82,86.40,84.87,89.30,71.82,47.92,
[02/06/2021 19:00],71.45,71.45,85.00,82.02,86.30,71.45,47.78,
[02/06/2021 19:30],71.45,71.45,85.00,82.02,86.30,71.45,47.78,
[02/06/2021 20:00],67.37,67.37,78.20,77.76,82.10,67.37,47.67,
[02/06/2021 20:30],67.37,67.37,78.20,77.76,82.10,67.37,47.67,
[02/06/2021 21:00],63.71,63.71,72.60,75.00,76.30,63.71,47.60,
[02/06/2021 21:30],63.71,63.71,72.60,75.00,76.30,63.71,47.60,
[02/06/2021 22:00],58.30,57.32,68.20,66.00,66.60,67.18,45.61,
[02/06/2021 22:30],58.30,57.32,68.20,66.00,66.60,67.18,45.61,
[02/06/2021 23:00],51.71,51.30,72.90,76.28,76.54,53.26,44.90,
[02/06/2021 23:30],51.71,51.30,72.90,76.28,76.54,53.26,44.90,
[03/06/2021 00:00],50.42,50.01,64.70,63.00,67.25,57.67,40.06,
[03/06/2021 00:30],50.42,50.01,64.70,63.00,67.25,57.67,40.06,
[03/06/2021 01:00],47.61,47.61,63.00,60.05,62.44,60.07,39.85,
[03/06/2021 01:30],47.61,47.61,63.00,60.05,62.44,60.07,39.85,
[03/06/2021 02:00],44.65,44.40,63.00,60.51,59.70,57.77,38.46,
[03/06/2021 02:30],44.65,44.40,63.00,60.51,59.70,57.77,38.46,
[03/06/2021 03:00],46.54,45.52,63.00,62.35,58.20,53.11,35.36,
[03/06/2021 03:30],46.54,45.52,63.00,62.35,58.20,53.11,35.36,
[03/06/2021 04:00],46.48,46.48,63.00,63.01,58.59,46.48,37.71,
[03/06/2021 04:30],46.48,46.48,63.00,63.01,58.59,46.48,37.71,
[03/06/2021 05:00],46.49,46.49,71.60,75.45,64.65,46.49,44.55,
[03/06/2021 05:30],46.49,46.49,71.60,75.45,64.65,46.49,44.55,
[03/06/2021 06:00],56.72,55.71,78.00,77.99,69.74,60.07,47.10,
[03/06/2021 06:30],56.72,55.71,78.00,77.99,69.74,60.07,47.10,
