Date (WET),Day Ahead Price EPEX,Day Ahead Price Nordpool,4H Intraday Price AVG,2H Intraday Price AVG,HH Intraday Price AVG,System Buy Price,System Sell Price
,GBP/MWh,GBP/MWh,GBP/MWh,GBP/MWh,GBP/MWh,GBP/MWh,GBP/MWh
[24/10/2018 11:30],64.41,64.41,63.10,57.01,56.64,47.25,47.25
[24/10/2018 12:00],61.42,61.42,63.10,57.01,56.49,48.50,48.50
[24/10/2018 12:30],61.42,61.42,63.10,57.01,56.01,52.98,52.98
[24/10/2018 13:00],57.77,57.77,52.82,49.31,55.52,72.00,72.00
[24/10/2018 13:30],57.77,57.77,52.82,49.31,56.34,48.32,48.32
[24/10/2018 14:00],56.70,56.70,52.82,49.31,53.60,72.00,72.00
[24/10/2018 14:30],56.70,56.70,52.82,49.31,52.31,72.00,72.00
[24/10/2018 15:00],58.66,58.66,52.82,51.22,53.24,48.33,48.33
[24/10/2018 15:30],58.66,58.66,52.82,51.22,57.13,41.15,41.15
[24/10/2018 16:00],61.30,61.30,52.82,51.22,55.37,28.50,28.50
[24/10/2018 16:30],61.30,61.30,52.82,51.22,48.41,48.46,48.46
[24/10/2018 17:00],75.11,75.11,,49.78,52.36,31.26,31.26
[24/10/2018 17:30],75.11,75.11,,49.78,51.82,48.48,48.48
[24/10/2018 18:00],93.60,93.60,,49.78,51.45,44.10,44.10
[24/10/2018 18:30],93.60,93.60,,49.78,49.64,102.50,102.50
[24/10/2018 19:00],79.70,79.70,,60.21,56.08,60.18,60.18
[24/10/2018 19:30],79.70,79.70,,60.21,63.14,48.25,48.25
[24/10/2018 20:00],66.28,66.28,,60.21,63.56,85.93,85.93
[24/10/2018 20:30],66.28,66.28,,60.21,54.87,48.51,48.51
[24/10/2018 21:00],62.00,62.00,67.49,68.41,69.65,74.01,74.01
[24/10/2018 21:30],62.00,62.00,67.49,68.41,83.99,47.02,47.02
[24/10/2018 22:00],60.44,60.44,67.49,68.41,75.88,48.00,48.00
[24/10/2018 22:30],60.44,60.44,67.49,68.41,77.01,48.34,48.34
[24/10/2018 23:00],58.79,58.79,67.49,69.01,87.46,51.17,51.17
[24/10/2018 23:30],58.79,58.79,67.49,69.01,75.12,74.50,74.50
[25/10/2018 00:00],51.50,51.50,67.49,69.01,68.20,73.31,73.31
[25/10/2018 00:30],51.50,51.50,67.49,69.01,64.48,36.47,36.47
[25/10/2018 01:00],51.16,51.16,63.22,62.65,63.13,37.22,37.22
[25/10/2018 01:30],51.16,51.16,63.22,62.65,59.02,44.50,44.50
[25/10/2018 02:00],51.14,51.14,63.22,62.65,67.27,74.00,74.00
[25/10/2018 02:30],51.14,51.14,63.22,62.65,65.87,44.57,44.57
[25/10/2018 03:00],47.91,47.91,63.22,67.82,66.51,44.50,44.50
[25/10/2018 03:30],47.91,47.91,63.22,67.82,62.23,44.50,44.50
[25/10/2018 04:00],51.15,51.15,,67.82,62.24,47.37,47.37
[25/10/2018 04:30],51.15,51.15,,67.82,63.24,44.52,44.52
[25/10/2018 05:00],59.48,59.48,,67.38,64.20,64.62,64.62
[25/10/2018 05:30],59.48,59.48,,67.38,84.24,80.00,80.00
[25/10/2018 06:00],70.00,70.00,,67.38,73.86,77.81,77.81
[25/10/2018 06:30],70.00,70.00,,67.38,92.58,40.71,40.71
[25/10/2018 07:00],72.10,72.10,,87.30,79.77,48.30,48.30
[25/10/2018 07:30],72.10,72.10,,87.30,86.53,95.00,95.00
