Date (WET),Capacity,Capacity Inferred (EnAppSys),Sheffield Solar Outturn (Max),Sheffield Solar Outturn,National Grid Forecast (Max),Sheffield Solar Upper Bound,Sheffield Solar Lower Bound,National Grid Forecast,Solar Forecast (EnAppSys),Solar D-1 Forecast (EnAppSys),Solar P10 Forecast (EnAppSys),Solar P90 Forecast (EnAppSys)
,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW
[20/10/2018 18:30],12960.0,11620.6,0.1,0.1,6.0,0.3,0.1,6.0,,,,
[20/10/2018 19:00],12960.0,11620.6,0.1,0.1,4.0,0.2,0.0,4.0,,,,
[20/10/2018 19:30],12960.0,11620.6,0.1,0.1,4.0,0.1,0.0,4.0,,,,
[20/10/2018 20:00],12960.0,11620.6,0.0,0.0,2.0,0.1,0.0,2.0,,,,
[20/10/2018 20:30],12960.0,11620.6,0.0,0.0,3.0,0.0,0.0,3.0,,,,
[20/10/2018 21:00],12960.0,11620.6,0.0,0.0,2.0,0.0,0.0,2.0,,,,
[20/10/2018 21:30],12960.0,11620.6,0.0,0.0,0.0,0.0,0.0,0.0,,,,
[20/10/2018 22:00],12960.0,11620.6,0.0,0.0,0.0,0.0,0.0,0.0,,,,
[20/10/2018 22:30],12960.0,11620.6,0.0,0.0,0.0,0.0,0.0,0.0,,,,
[20/10/2018 23:00],12960.0,11620.6,0.0,0.0,0.0,0.0,0.0,0.0,,,,
[20/10/2018 23:30],12960.0,11620.6,0.0,0.0,0.0,0.0,0.0,0.0,,,,
[21/10/2018 00:00],12960.0,11620.6,0.0,0.0,0.0,0.0,0.0,0.0,,,,
[21/10/2018 00:30],12960.0,11620.6,0.0,0.0,0.0,0.0,0.0,0.0,,,,
[21/10/2018 01:00],12960.0,11620.6,0.0,0.0,0.0,0.0,0.0,0.0,,,,
[21/10/2018 01:30],12960.0,11620.6,0.0,0.0,0.0,0.0,0.0,0.0,,,,
[21/10/2018 02:00],12960.0,11620.6,0.0,0.0,0.0,0.0,0.0,0.0,,,,
[21/10/2018 02:30],12960.0,11620.6,0.0,0.0,0.0,0.0,0.0,0.0,,,,
[21/10/2018 03:00],12960.0,11620.6,0.0,0.0,0.0,0.0,0.0,0.0,,,,
[21/10/2018 03:30],12960.0,11620.6,0.0,0.0,0.0,0.0,0.0,0.0,,,,
[21/10/2018 04:00],12960.0,11620.6,0.0,0.0,0.0,0.0,0.0,0.0,,,,
[21/10/2018 04:30],12960.0,11620.6,0.0,0.0,0.0,0.0,0.0,0.0,,,,
[21/10/2018 05:00],12960.0,11620.6,0.0,0.0,0.0,0.0,0.0,0.0,,,,
[21/10/2018 05:30],12960.0,11620.6,0.0,0.0,1.0,0.0,0.0,1.0,,,,
[21/10/2018 06:00],12960.0,11620.6,0.0,0.0,0.0,0.0,0.0,0.0,,,,
[21/10/2018 06:30],12960.0,11620.6,0.0,0.0,0.0,0.0,0.0,0.0,,,,
[21/10/2018 07:00],12960.0,11620.6,0.0,0.0,1.0,0.0,0.0,1.0,,,,
[21/10/2018 07:30],12960.0,11620.6,23.5,23.5,15.0,24.5,22.4,15.0,,,,
[21/10/2018 08:00],12960.0,11620.6,365.0,365.0,274.0,375.0,354.0,274.0,,,,
[21/10/2018 08:30],12960.0,11620.6,1070.0,1070.0,909.0,1100.0,1050.0,909.0,,,,
[21/10/2018 09:00],12960.0,11620.6,1960.0,1960.0,1640.0,2000.0,1930.0,1640.0,,,,
[21/10/2018 09:30],12960.0,11620.6,2770.0,2770.0,2430.0,2810.0,2730.0,2430.0,,,,
[21/10/2018 10:00],12960.0,11620.6,3430.0,3430.0,3090.0,3480.0,3390.0,3090.0,,,,
[21/10/2018 10:30],12960.0,11620.6,4140.0,4140.0,3710.0,4190.0,4090.0,3710.0,,,,
[21/10/2018 11:00],12960.0,11620.6,4690.0,4690.0,4310.0,4740.0,4640.0,4310.0,,,,
[21/10/2018 11:30],12960.0,11620.6,5110.0,5110.0,4700.0,5170.0,5060.0,4700.0,,,,
[21/10/2018 12:00],12960.0,11620.6,5400.0,5400.0,4930.0,5450.0,5340.0,4930.0,,,,
[21/10/2018 12:30],12960.0,11620.6,5670.0,5670.0,5010.0,5730.0,5620.0,5010.0,,,,
[21/10/2018 13:00],12960.0,11620.6,5270.0,5270.0,4910.0,5330.0,5220.0,4910.0,,,,
[21/10/2018 13:30],12960.0,11620.6,4990.0,4990.0,4660.0,5050.0,4930.0,4660.0,,,,
[21/10/2018 14:00],12960.0,11620.6,4690.0,4690.0,4430.0,4750.0,4630.0,4430.0,,,,
[21/10/2018 14:30],12960.0,11620.6,4090.0,4090.0,3890.0,4150.0,4040.0,3890.0,,,,
[21/10/2018 15:00],12960.0,11620.6,3400.0,3400.0,3240.0,3450.0,3350.0,3240.0,,,,
[21/10/2018 15:30],12960.0,11620.6,2590.0,2590.0,2550.0,2630.0,2550.0,2550.0,,,,
[21/10/2018 16:00],12960.0,11620.6,1770.0,1770.0,1810.0,1800.0,1740.0,1810.0,,,,
[21/10/2018 16:30],12960.0,11620.6,907.0,907.0,1050.0,928.0,886.0,1050.0,,,,
[21/10/2018 17:00],12960.0,11620.6,342.0,342.0,417.0,352.0,333.0,417.0,,,,
[21/10/2018 17:30],12960.0,11620.6,28.2,28.2,53.0,29.3,27.2,53.0,,,,
[21/10/2018 18:00],12960.0,11620.6,0.2,0.2,9.0,0.3,0.1,9.0,,,,
[21/10/2018 18:30],12960.0,11620.6,0.1,0.1,7.0,0.1,0.0,7.0,,,,
[21/10/2018 19:00],12960.0,11620.6,0.1,0.1,3.0,0.1,0.0,3.0,,,,
[21/10/2018 19:30],12960.0,11620.6,0.0,0.0,2.0,0.1,0.0,2.0,,,,
[21/10/2018 20:00],12960.0,11620.6,0.0,0.0,2.0,0.0,0.0,2.0,,,,
[21/10/2018 20:30],12960.0,11620.6,0.1,0.1,3.0,0.1,0.0,3.0,,,,
