,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
[02-07],32857,33117,32923,31237,30579,35573,35476,35412,33295,28676,27271,32109,30541,31549,27202,21713,26620,26456,24804,25802
[03-07],32981,33168,32429,29527,36481,35844,35530,34445,29000,27982,32957,32296,30757,29173,23022,27068,26760,26716,24912,24121
[04-07],32800,32080,28272,35424,37041,35988,35398,29536,27361,32979,33773,31612,30219,25546,23385,28841,27913,25725,22761,23244
[05-07],32607,28044,27383,36295,37376,36413,34465,28458,32711,33462,33720,31489,27359,25502,28807,28220,27908,25582,21616,25729
[06-07],27724,26822,32295,36131,37189,34997,30683,33241,33368,33084,33377,27776,26367,29297,28049,28842,27484,23700,18624,25791
[07-07],26719,32202,32839,36103,35703,30945,30164,33788,33406,32769,33014,27206,30899,28815,28460,28276,24608,22833,22300,26194
[08-07],32423,33080,33216,35296,30932,30039,35150,33650,34180,32512,28967,32006,31699,29567,28737,23983,23621,26642,25366,26380
[09-07],33039,33451,33525,31044,29853,35190,35153,33307,33876,28714,28290,32406,30131,29224,27295,23713,28281,27872,26229,26343
[10-07],32497,33604,32418,30161,35854,35722,36224,32707,29910,28193,32951,32468,31073,28879,24791,28524,27920,27421,26136,24117
[11-07],32396,32193,28505,36403,36099,35825,35237,29200,28083,32972,33567,32093,31079,25187,23363,29835,28295,27339,23894,23264
[12-07],31631,27748,27502,36848,36241,36297,34883,27800,33625,33096,33004,31961,27548,25000,27512,27736,28489,26030,21037,26491
[13-07],27185,26563,32660,36973,36312,35902,30523,33123,33963,32945,33118,28502,26090,30848,29256,27558,28002,23837,20363,26152
[14-07],26007,32539,32874,37360,35103,31042,29674,33713,33909,32966,32568,27450,30112,31236,28480,26473,24089,23166,24145,25610
[15-07],31960,33430,33477,35921,30729,30804,34962,33733,33117,32509,29117,32171,31242,30394,28279,24099,23169,26723,24989,25821
[16-07],32551,33842,33653,30940,30150,35586,35401,34114,31918,28715,27413,33015,31421,29982,28227,23500,28294,26982,25715,24749
[17-07],32075,33808,32873,30081,36407,35841,34944,33141,28390,27843,32809,33340,31934,28116,24420,26597,28309,27147,24880,22291
[18-07],32268,32269,28966,35819,37407,35829,35173,28544,27582,32421,33106,33354,30627,24132,23714,27543,28575,26436,24109,22242
[19-07],31708,28168,27514,35708,37493,35877,34792,28091,33298,33191,32705,32346,28656,24206,28537,28759,28008,27155,21908,26404
[20-07],27355,26610,32470,35856,37767,35776,30192,32602,34621,33586,32892,28326,27128,29733,29448,27635,27792,22160,20778,26887
[21-07],25857,31790,33174,35956,36667,31516,28903,33954,34179,33310,32511,27017,31391,28939,29735,26729,24409,21787,23310,26893
[22-07],31034,32342,33389,35327,32491,30113,33895,33139,33538,32138,28415,32498,31882,30054,29406,24289,23356,24825,24267,26538
[23-07],32070,32444,33593,31028,30465,35081,35148,33169,32561,28068,26638,33569,31518,29355,28872,23822,28118,26835,24293,25515
[24-07],31485,32279,32125,30138,35738,35066,35581,32313,28896,27200,31544,32787,31647,30543,25215,26797,28368,27535,24411,23067
[25-07],31583,31630,27718,35158,36686,35143,35312,28575,27979,31921,32774,32680,31242,25001,24883,27753,27686,27921,24250,22906
[26-07],31029,27257,26787,35178,36997,35272,34517,27577,32971,32454,33081,31704,27795,25684,27357,27287,28155,27972,21867,25415
