Date (WET),DEMAND (INDO),DEMAND (ITSDO),DEMAND (NATIONAL GRID),DEMAND (ENTSOE),DEMAND FORECAST (ENTSOE),DEMAND FORECAST (NDF),DEMAND FORECAST (TSDF)
,MW,MW,MW,MW,MW,MW,MW
[26/10/2018 17:00],35532,36042,,41169,39893,36138,36638
[26/10/2018 17:30],36669,37255,,41169,39893,37200,37775
[26/10/2018 18:00],38292,39029,,42931,40579,38700,39418
[26/10/2018 18:30],38230,38994,,42931,40579,38574,39326
[26/10/2018 19:00],37203,38099,,41601,38380,37184,38066
[26/10/2018 19:30],36254,37176,,41601,38380,35990,36906
[26/10/2018 20:00],35068,35899,,37847,35891,34703,35525
[26/10/2018 20:30],33780,34562,,37847,35891,33546,34297
[26/10/2018 21:00],32231,32850,,34988,32979,32298,32884
[26/10/2018 21:30],30744,31260,,34988,32979,30656,31156
[26/10/2018 22:00],29051,30002,,31147,29635,28985,29935
[26/10/2018 22:30],27494,28463,,31147,29635,27381,28331
[26/10/2018 23:00],25833,26349,,29018,26339,25611,26111
[26/10/2018 23:30],24519,25037,,29018,26339,24000,24500
[27/10/2018 00:00],23258,23845,,26572,24548,22800,23372
[27/10/2018 00:30],22643,23241,,26572,24548,22300,22873
[27/10/2018 01:00],22526,23156,,26189,24366,22339,22912
[27/10/2018 01:30],22778,23471,,26189,24366,22300,22967
[27/10/2018 02:00],22505,23789,,25115,23743,22069,23324
[27/10/2018 02:30],22166,23586,,25115,23743,21648,23064
[27/10/2018 03:00],21934,23374,,24483,22879,21137,22558
[27/10/2018 03:30],21659,23270,,24483,22879,20711,22279
[27/10/2018 04:00],21333,22903,,23768,22485,20900,22465
[27/10/2018 04:30],21165,22741,,23768,22485,20910,22472
[27/10/2018 05:00],21474,22880,,24314,23128,20994,22401
[27/10/2018 05:30],22057,23395,,24314,23128,21341,22673
