Date (WET),Capacity,Total Accepted Balancing Level,Wind Outturn,National Grid Forecast,EnAppSys Forecast Trend-Adjusted,EnAppSys Forecast Unadjusted
,MW,MW,MW,MW,MW,MW
[08/12/2020 04:30],17983.0,1500.5,5357.0,5767.0,5402.4,6254.6
[08/12/2020 05:00],17983.0,1034.8,5469.0,5451.0,5413.7,6103.1
[08/12/2020 05:30],17983.0,629.5,5611.0,5451.0,5459.5,6535.8
[08/12/2020 06:00],17983.0,106.6,5783.0,5290.0,5632.4,6386.4
[08/12/2020 06:30],17983.0,0.0,5617.0,5290.0,5790.8,6169.6
[08/12/2020 07:00],17983.0,0.0,5483.0,4990.0,5473.3,5873.1
[08/12/2020 07:30],17983.0,0.0,5635.0,4990.0,5392.9,5544.8
[08/12/2020 08:00],17983.0,0.0,5464.0,4678.0,5469.4,5308.1
[08/12/2020 08:30],17983.0,0.0,5254.0,4678.0,5331.8,5007.5
[08/12/2020 09:00],17983.0,0.0,5131.0,4490.0,5088.4,4748.6
[08/12/2020 09:30],17983.0,0.0,4831.0,4490.0,5042.2,4632.9
[08/12/2020 10:00],17983.0,0.0,4730.0,4284.0,4846.2,4460.2
[08/12/2020 10:30],17983.0,0.0,4721.0,4284.0,4623.6,4248.4
[08/12/2020 11:00],17983.0,0.0,4602.0,4202.0,4614.3,4153.9
[08/12/2020 11:30],17983.0,0.0,4479.0,4202.0,4544.3,4091.9
[08/12/2020 12:00],17983.0,0.0,4504.0,4137.0,4058.2,4001.3
[08/12/2020 12:30],17983.0,0.0,4639.0,4137.0,4527.3,3953.5
[08/12/2020 13:00],17983.0,0.0,4553.0,4188.0,4621.1,4029.0
[08/12/2020 13:30],17983.0,0.0,4555.0,4188.0,4679.8,4115.3
[08/12/2020 14:00],17983.0,0.0,4567.0,4345.0,4543.4,4168.7
[08/12/2020 14:30],17983.0,0.0,4712.0,4345.0,4664.3,4244.4
[08/12/2020 15:00],17983.0,0.0,4971.0,4488.0,4723.1,4316.4
[08/12/2020 15:30],17983.0,0.0,5099.0,4488.0,4904.4,4333.5
[08/12/2020 16:00],17983.0,0.0,5165.0,4697.0,5086.3,4364.1
[08/12/2020 16:30],17983.0,0.0,5246.0,4697.0,5155.1,4409.7
