Date (WET),BELGIUM (BE),FRANCE (FR),ISEM (ISEM),NETHERLANDS (NL),NORWAY (NO)
,GBP/MWh,GBP/MWh,GBP/MWh,GBP/MWh,GBP/MWh
[04/02/2019 05:30],1.35,1.35,2.09,3.48,-2.17
[04/02/2019 06:00],1.91,1.74,4.20,9.02,8.73
[04/02/2019 06:30],1.91,1.74,4.20,9.02,8.73
[04/02/2019 07:00],-0.96,-6.19,0.06,1.85,0.81
[04/02/2019 07:30],-0.96,-6.19,0.06,1.85,0.81
[04/02/2019 08:00],-0.91,-0.91,-1.43,4.64,8.69
[04/02/2019 08:30],-0.91,-0.91,-1.43,4.64,8.69
[04/02/2019 09:00],-0.92,-0.92,-2.77,10.29,10.14
[04/02/2019 09:30],-0.92,-0.92,-2.77,10.29,10.14
[04/02/2019 10:00],1.85,-0.90,-2.74,16.87,9.88
[04/02/2019 10:30],1.85,-0.90,-2.74,16.87,9.88
[04/02/2019 11:00],2.18,-0.86,-10.94,16.62,7.08
[04/02/2019 11:30],2.18,-0.86,-10.94,16.62,7.08
[04/02/2019 12:00],1.68,-0.83,-16.94,15.30,5.03
[04/02/2019 12:30],1.68,-0.83,-16.94,15.30,5.03
[04/02/2019 13:00],0.43,-0.80,-18.69,9.37,3.14
[04/02/2019 13:30],0.43,-0.80,-18.69,9.37,3.14
[04/02/2019 14:00],1.65,0.64,-17.98,10.18,4.02
[04/02/2019 14:30],1.65,0.64,-17.98,10.18,4.02
[04/02/2019 15:00],1.73,1.58,-67.24,11.52,6.26
[04/02/2019 15:30],1.73,1.58,-67.24,11.52,6.26
[04/02/2019 16:00],4.01,1.74,-74.10,13.95,11.54
[04/02/2019 16:30],4.01,1.74,-74.10,13.95,11.54
[04/02/2019 17:00],11.27,8.76,-180.96,28.12,23.01
[04/02/2019 17:30],11.27,8.76,-180.96,28.12,23.01
[04/02/2019 18:00],17.66,12.65,-162.78,37.51,28.31
[04/02/2019 18:30],17.66,12.65,-162.78,37.51,28.31
[04/02/2019 19:00],19.43,16.61,-40.32,38.92,28.83
[04/02/2019 19:30],19.43,16.61,-40.32,38.92,28.83
[04/02/2019 20:00],21.22,12.70,-3.29,32.26,22.03
[04/02/2019 20:30],21.22,12.70,-3.29,32.26,22.03
[04/02/2019 21:00],7.68,1.76,-2.36,23.57,14.10
[04/02/2019 21:30],7.68,1.76,-2.36,23.57,14.10
[04/02/2019 22:00],7.25,1.67,-2.71,24.74,12.39
[04/02/2019 22:30],7.25,1.67,-2.71,24.74,12.39
[04/02/2019 23:00],9.01,0.38,-2.50,18.65,9.37
[04/02/2019 23:30],9.01,0.38,-2.50,18.65,9.37
[05/02/2019 00:00],6.72,0.09,0.10,15.09,5.99
[05/02/2019 00:30],6.72,0.09,0.10,15.09,5.99
[05/02/2019 01:00],4.31,0.87,2.14,12.63,4.56
[05/02/2019 01:30],4.31,0.87,2.14,12.63,4.56
[05/02/2019 02:00],4.41,1.17,0.36,8.55,1.86
[05/02/2019 02:30],4.41,1.17,0.36,8.55,1.86
[05/02/2019 03:00],5.15,3.99,2.07,8.16,1.22
[05/02/2019 03:30],5.15,3.99,2.07,8.16,1.22
[05/02/2019 04:00],1.73,0.81,2.03,5.70,-0.27
[05/02/2019 04:30],1.73,0.81,2.03,5.70,-0.27
[05/02/2019 05:00],2.24,-1.44,7.28,3.25,5.67
[05/02/2019 05:30],2.24,-1.44,7.28,3.25,5.67
[05/02/2019 06:00],0.61,-0.21,10.89,1.44,9.01
[05/02/2019 06:30],0.61,-0.21,10.89,1.44,9.01
[05/02/2019 07:00],1.63,3.59,2.99,1.63,15.18
[05/02/2019 07:30],1.63,3.59,2.99,1.63,15.18
[05/02/2019 08:00],6.05,8.07,3.21,1.74,19.66
[05/02/2019 08:30],6.05,8.07,3.21,1.74,19.66
[05/02/2019 09:00],4.70,5.29,1.79,1.63,15.19
[05/02/2019 09:30],4.70,5.29,1.79,1.63,15.19
[05/02/2019 10:00],1.22,1.22,1.33,1.22,8.93
[05/02/2019 10:30],1.22,1.22,1.33,1.22,8.93
[05/02/2019 11:00],1.28,0.99,2.52,1.36,6.15
[05/02/2019 11:30],1.28,0.99,2.52,1.36,6.15
[05/02/2019 12:00],1.12,0.97,2.47,1.17,5.18
[05/02/2019 12:30],1.12,0.97,2.47,1.17,5.18
[05/02/2019 13:00],0.97,0.97,2.47,0.97,4.79
[05/02/2019 13:30],0.97,0.97,2.47,0.97,4.79
[05/02/2019 14:00],-0.08,-0.08,2.40,-0.08,3.81
[05/02/2019 14:30],-0.08,-0.08,2.40,-0.08,3.81
[05/02/2019 15:00],-1.46,-1.46,2.45,-1.46,3.66
[05/02/2019 15:30],-1.46,-1.46,2.45,-1.46,3.66
[05/02/2019 16:00],1.06,1.06,0.15,1.06,6.28
[05/02/2019 16:30],1.06,1.06,0.15,1.06,6.28
[05/02/2019 17:00],1.10,1.10,-2.90,1.10,9.15
[05/02/2019 17:30],1.10,1.10,-2.90,1.10,9.15
[05/02/2019 18:00],-0.79,-1.62,-2.81,2.08,8.62
[05/02/2019 18:30],-0.79,-1.62,-2.81,2.08,8.62
[05/02/2019 19:00],1.20,1.20,-2.74,1.20,8.31
[05/02/2019 19:30],1.20,1.20,-2.74,1.20,8.31
[05/02/2019 20:00],6.34,5.28,-1.28,6.34,6.63
[05/02/2019 20:30],6.34,5.28,-1.28,6.34,6.63
[05/02/2019 21:00],1.03,1.03,-0.68,7.01,2.73
[05/02/2019 21:30],1.03,1.03,-0.68,7.01,2.73
[05/02/2019 22:00],0.81,0.81,-3.80,5.71,-0.43
[05/02/2019 22:30],0.81,0.81,-3.80,5.71,-0.43
[05/02/2019 23:00],5.89,5.89,-1.05,5.89,0.14
[05/02/2019 23:30],5.89,5.89,-1.05,5.89,0.14
[06/02/2019 00:00],6.91,6.91,-1.06,6.91,0.39
[06/02/2019 00:30],6.91,6.91,-1.06,6.91,0.39
[06/02/2019 01:00],7.46,7.75,-0.31,8.45,1.04
[06/02/2019 01:30],7.46,7.75,-0.31,8.45,1.04
[06/02/2019 02:00],7.98,7.98,1.03,7.98,0.38
[06/02/2019 02:30],7.98,7.98,1.03,7.98,0.38
[06/02/2019 03:00],7.15,7.15,2.06,7.15,-0.13
[06/02/2019 03:30],7.15,7.15,2.06,7.15,-0.13
[06/02/2019 04:00],6.36,6.36,1.99,6.36,-1.44
[06/02/2019 04:30],6.36,6.36,1.99,6.36,-1.44
[06/02/2019 05:00],1.06,1.31,2.13,1.95,0.47
[06/02/2019 05:30],1.06,1.31,2.13,1.95,0.47
[06/02/2019 06:00],1.26,2.36,6.09,8.49,6.94
[06/02/2019 06:30],1.26,2.36,6.09,8.49,6.94
[06/02/2019 07:00],0.96,1.10,-0.89,5.69,4.06
[06/02/2019 07:30],0.96,1.10,-0.89,5.69,4.06
[06/02/2019 08:00],1.34,1.18,1.35,12.11,11.18
[06/02/2019 08:30],1.34,1.18,1.35,12.11,11.18
[06/02/2019 09:00],5.35,6.95,1.40,11.27,12.83
[06/02/2019 09:30],5.35,6.95,1.40,11.27,12.83
[06/02/2019 10:00],1.25,2.52,1.27,6.29,7.85
[06/02/2019 10:30],1.25,2.52,1.27,6.29,7.85
[06/02/2019 11:00],1.13,1.55,-0.62,1.33,2.87
[06/02/2019 11:30],1.13,1.55,-0.62,1.33,2.87
[06/02/2019 12:00],1.12,1.48,-1.17,1.33,2.86
[06/02/2019 12:30],1.12,1.48,-1.17,1.33,2.86
[06/02/2019 13:00],1.28,1.28,-1.14,1.28,1.28
[06/02/2019 13:30],1.28,1.28,-1.14,1.28,1.28
[06/02/2019 14:00],1.12,1.12,-1.20,1.12,1.56
[06/02/2019 14:30],1.12,1.12,-1.20,1.12,1.56
[06/02/2019 15:00],1.17,1.17,-1.21,1.17,2.36
[06/02/2019 15:30],1.17,1.17,-1.21,1.17,2.36
[06/02/2019 16:00],6.96,6.96,-1.50,6.96,6.96
[06/02/2019 16:30],6.96,6.96,-1.50,6.96,6.96
[06/02/2019 17:00],15.29,15.29,-3.40,15.29,16.61
[06/02/2019 17:30],15.29,15.29,-3.40,15.29,16.61
[06/02/2019 18:00],17.09,15.80,-3.50,20.13,21.79
[06/02/2019 18:30],17.09,15.80,-3.50,20.13,21.79
[06/02/2019 19:00],20.64,18.96,-1.70,22.15,23.46
[06/02/2019 19:30],20.64,18.96,-1.70,22.15,23.46
[06/02/2019 20:00],14.48,14.48,-2.89,14.48,13.48
[06/02/2019 20:30],14.48,14.48,-2.89,14.48,13.48
[06/02/2019 21:00],5.31,5.31,-1.13,5.31,4.69
[06/02/2019 21:30],5.31,5.31,-1.13,5.31,4.69
[06/02/2019 22:00],2.96,2.96,-3.40,2.96,1.21
[06/02/2019 22:30],2.96,2.96,-3.40,2.96,1.21
[06/02/2019 23:00],4.27,4.27,-2.21,4.27,2.92
[06/02/2019 23:30],4.27,4.27,-2.21,4.27,2.92
[07/02/2019 00:00],4.21,4.21,-1.69,4.21,2.34
[07/02/2019 00:30],4.21,4.21,-1.69,4.21,2.34
[07/02/2019 01:00],9.01,9.01,-0.38,9.01,3.92
[07/02/2019 01:30],9.01,9.01,-0.38,9.01,3.92
[07/02/2019 02:00],10.82,10.82,0.38,10.82,3.08
[07/02/2019 02:30],10.82,10.82,0.38,10.82,3.08
[07/02/2019 03:00],11.39,11.39,1.79,11.39,2.41
[07/02/2019 03:30],11.39,11.39,1.79,11.39,2.41
[07/02/2019 04:00],8.74,8.74,2.02,8.74,0.01
[07/02/2019 04:30],8.74,8.74,2.02,8.74,0.01
[07/02/2019 05:00],1.23,1.23,2.03,1.23,-0.78
[07/02/2019 05:30],1.23,1.23,2.03,1.23,-0.78
[07/02/2019 06:00],1.24,2.56,2.39,6.19,4.71
[07/02/2019 06:30],1.24,2.56,2.39,6.19,4.71
[07/02/2019 07:00],13.15,14.79,3.02,16.29,17.83
[07/02/2019 07:30],13.15,14.79,3.02,16.29,17.83
[07/02/2019 08:00],15.37,16.13,1.53,17.74,19.26
[07/02/2019 08:30],15.37,16.13,1.53,17.74,19.26
[07/02/2019 09:00],12.93,14.49,-1.51,15.77,17.27
[07/02/2019 09:30],12.93,14.49,-1.51,15.77,17.27
[07/02/2019 10:00],2.37,4.30,-1.26,8.00,6.81
[07/02/2019 10:30],2.37,4.30,-1.26,8.00,6.81
[07/02/2019 11:00],2.66,3.66,-1.13,3.18,1.74
[07/02/2019 11:30],2.66,3.66,-1.13,3.18,1.74
[07/02/2019 12:00],4.44,4.22,-1.09,4.44,0.30
[07/02/2019 12:30],4.44,4.22,-1.09,4.44,0.30
[07/02/2019 13:00],7.23,5.63,-0.98,7.23,0.08
[07/02/2019 13:30],7.23,5.63,-0.98,7.23,0.08
[07/02/2019 14:00],6.58,6.38,-0.98,6.58,0.09
[07/02/2019 14:30],6.58,6.38,-0.98,6.58,0.09
[07/02/2019 15:00],4.74,5.48,-0.28,4.67,0.73
[07/02/2019 15:30],4.74,5.48,-0.28,4.67,0.73
[07/02/2019 16:00],8.55,8.24,-1.31,8.55,8.79
[07/02/2019 16:30],8.55,8.24,-1.31,8.55,8.79
[07/02/2019 17:00],15.93,19.18,-1.64,24.21,22.77
[07/02/2019 17:30],15.93,19.18,-1.64,24.21,22.77
[07/02/2019 18:00],18.89,20.25,-1.69,29.99,25.58
[07/02/2019 18:30],18.89,20.25,-1.69,29.99,25.58
[07/02/2019 19:00],13.14,17.44,1.51,25.79,20.05
[07/02/2019 19:30],13.14,17.44,1.51,25.79,20.05
[07/02/2019 20:00],21.61,22.93,10.66,22.27,19.53
[07/02/2019 20:30],21.61,22.93,10.66,22.27,19.53
[07/02/2019 21:00],6.40,0.99,2.17,7.84,3.59
[07/02/2019 21:30],6.40,0.99,2.17,7.84,3.59
[07/02/2019 22:00],1.01,3.49,2.01,6.04,1.13
[07/02/2019 22:30],1.01,3.49,2.01,6.04,1.13
[07/02/2019 23:00],15.73,15.57,23.79,16.59,15.23
[07/02/2019 23:30],15.73,15.57,23.79,16.59,15.23
[08/02/2019 00:00],25.59,25.72,32.90,22.60,19.89
[08/02/2019 00:30],25.59,25.72,32.90,22.60,19.89
[08/02/2019 01:00],20.64,21.84,56.13,15.65,13.95
[08/02/2019 01:30],20.64,21.84,56.13,15.65,13.95
[08/02/2019 02:00],8.02,10.69,41.45,1.85,-0.66
[08/02/2019 02:30],8.02,10.69,41.45,1.85,-0.66
[08/02/2019 03:00],1.75,2.04,33.90,0.98,-8.14
[08/02/2019 03:30],1.75,2.04,33.90,0.98,-8.14
[08/02/2019 04:00],0.68,0.78,35.44,0.68,-6.83
[08/02/2019 04:30],0.68,0.78,35.44,0.68,-6.83
[08/02/2019 05:00],1.50,0.94,42.43,1.50,-1.54
[08/02/2019 05:30],1.50,0.94,42.43,1.50,-1.54
[08/02/2019 06:00],0.21,1.15,51.80,2.63,5.84
[08/02/2019 06:30],0.21,1.15,51.80,2.63,5.84
[08/02/2019 07:00],1.30,1.36,18.20,1.51,5.94
[08/02/2019 07:30],1.30,1.36,18.20,1.51,5.94
[08/02/2019 08:00],1.32,1.96,11.93,1.53,6.43
[08/02/2019 08:30],1.32,1.96,11.93,1.53,6.43
[08/02/2019 09:00],3.04,5.03,6.66,3.04,9.81
[08/02/2019 09:30],3.04,5.03,6.66,3.04,9.81
[08/02/2019 10:00],8.35,10.37,10.66,8.35,14.42
[08/02/2019 10:30],8.35,10.37,10.66,8.35,14.42
[08/02/2019 11:00],9.77,11.73,7.60,9.77,13.16
[08/02/2019 11:30],9.77,11.73,7.60,9.77,13.16
[08/02/2019 12:00],11.09,13.46,4.20,8.70,10.15
[08/02/2019 12:30],11.09,13.46,4.20,8.70,10.15
[08/02/2019 13:00],6.70,8.65,2.27,5.83,4.42
[08/02/2019 13:30],6.70,8.65,2.27,5.83,4.42
[08/02/2019 14:00],6.81,7.27,5.19,6.10,2.61
[08/02/2019 14:30],6.81,7.27,5.19,6.10,2.61
[08/02/2019 15:00],8.45,8.59,7.09,7.70,4.26
[08/02/2019 15:30],8.45,8.59,7.09,7.70,4.26
[08/02/2019 16:00],8.00,8.00,5.93,8.00,7.63
[08/02/2019 16:30],8.00,8.00,5.93,8.00,7.63
[08/02/2019 17:00],15.15,17.20,3.05,19.12,20.60
[08/02/2019 17:30],15.15,17.20,3.05,19.12,20.60
[08/02/2019 18:00],8.49,14.44,3.00,22.12,20.73
[08/02/2019 18:30],8.49,14.44,3.00,22.12,20.73
[08/02/2019 19:00],11.89,16.31,10.80,16.55,15.17
[08/02/2019 19:30],11.89,16.31,10.80,16.55,15.17
[08/02/2019 20:00],19.12,20.42,15.65,14.14,12.78
[08/02/2019 20:30],19.12,20.42,15.65,14.14,12.78
[08/02/2019 21:00],7.87,9.91,16.73,9.56,8.21
[08/02/2019 21:30],7.87,9.91,16.73,9.56,8.21
[08/02/2019 22:00],1.04,7.02,12.31,1.21,-0.14
[08/02/2019 22:30],1.04,7.02,12.31,1.21,-0.14
[08/02/2019 23:00],0.90,7.75,42.00,1.34,0.00
[08/02/2019 23:30],0.90,7.75,42.00,1.34,0.00
[09/02/2019 00:00],18.64,21.08,43.70,8.50,2.13
[09/02/2019 00:30],18.64,21.08,43.70,8.50,2.13
[09/02/2019 01:00],9.56,12.89,36.00,0.91,-5.46
[09/02/2019 01:30],9.56,12.89,36.00,0.91,-5.46
[09/02/2019 02:00],11.48,15.47,33.50,0.85,-7.90
[09/02/2019 02:30],11.48,15.47,33.50,0.85,-7.90
[09/02/2019 03:00],11.66,16.14,29.96,0.76,-11.44
[09/02/2019 03:30],11.66,16.14,29.96,0.76,-11.44
[09/02/2019 04:00],8.52,9.82,25.60,-0.91,-15.75
[09/02/2019 04:30],8.52,9.82,25.60,-0.91,-15.75
[09/02/2019 05:00],4.17,11.08,32.38,-1.16,-9.35
[09/02/2019 05:30],4.17,11.08,32.38,-1.16,-9.35
[09/02/2019 06:00],9.04,11.39,37.12,0.93,-4.44
[09/02/2019 06:30],9.04,11.39,37.12,0.93,-4.44
[09/02/2019 07:00],0.84,7.82,6.66,1.00,-2.01
[09/02/2019 07:30],0.84,7.82,6.66,1.00,-2.01
[09/02/2019 08:00],3.93,9.66,3.52,4.20,4.53
[09/02/2019 08:30],3.93,9.66,3.52,4.20,4.53
[09/02/2019 09:00],16.44,22.47,12.43,12.72,13.77
[09/02/2019 09:30],16.44,22.47,12.43,12.72,13.77
[09/02/2019 10:00],14.40,17.11,6.00,10.96,9.60
[09/02/2019 10:30],14.40,17.11,6.00,10.96,9.60
[09/02/2019 11:00],12.83,15.25,2.33,9.33,7.97
[09/02/2019 11:30],12.83,15.25,2.33,9.33,7.97
[09/02/2019 12:00],22.60,23.42,2.30,10.63,6.92
[09/02/2019 12:30],22.60,23.42,2.30,10.63,6.92
[09/02/2019 13:00],27.12,28.02,1.70,15.67,8.02
[09/02/2019 13:30],27.12,28.02,1.70,15.67,8.02
[09/02/2019 14:00],22.73,25.37,-1.17,9.72,5.15
[09/02/2019 14:30],22.73,25.37,-1.17,9.72,5.15
[09/02/2019 15:00],11.15,17.84,-1.02,5.73,1.53
[09/02/2019 15:30],11.15,17.84,-1.02,5.73,1.53
[09/02/2019 16:00],16.10,18.22,-2.11,1.24,5.62
[09/02/2019 16:30],16.10,18.22,-2.11,1.24,5.62
[09/02/2019 17:00],31.32,34.23,-3.81,27.23,28.66
[09/02/2019 17:30],31.32,34.23,-3.81,27.23,28.66
[09/02/2019 18:00],21.84,26.61,-29.00,31.99,33.40
[09/02/2019 18:30],21.84,26.61,-29.00,31.99,33.40
[09/02/2019 19:00],27.40,30.20,-11.24,19.19,22.72
[09/02/2019 19:30],27.40,30.20,-11.24,19.19,22.72
[09/02/2019 20:00],8.61,17.98,-2.70,15.83,12.44
[09/02/2019 20:30],8.61,17.98,-2.70,15.83,12.44
[09/02/2019 21:00],8.90,14.76,-1.50,13.36,12.01
[09/02/2019 21:30],8.90,14.76,-1.50,13.36,12.01
[09/02/2019 22:00],10.26,12.46,-4.70,13.36,12.02
[09/02/2019 22:30],10.26,12.46,-4.70,13.36,12.02
[09/02/2019 23:00],16.56,18.32,-9.84,6.88,5.55
[09/02/2019 23:30],16.56,18.32,-9.84,6.88,5.55
[10/02/2019 00:00],32.23,32.50,-2.70,16.75,15.18
[10/02/2019 00:30],32.23,32.50,-2.70,16.75,15.18
[10/02/2019 01:00],35.82,37.61,-1.47,20.68,19.15
[10/02/2019 01:30],35.82,37.61,-1.47,20.68,19.15
[10/02/2019 02:00],40.61,43.94,-1.46,24.54,18.99
[10/02/2019 02:30],40.61,43.94,-1.46,24.54,18.99
[10/02/2019 03:00],39.07,42.28,1.31,23.27,15.27
[10/02/2019 03:30],39.07,42.28,1.31,23.27,15.27
[10/02/2019 04:00],33.61,36.28,2.50,20.35,12.26
[10/02/2019 04:30],33.61,36.28,2.50,20.35,12.26
[10/02/2019 05:00],31.74,36.58,2.34,6.84,9.62
[10/02/2019 05:30],31.74,36.58,2.34,6.84,9.62
[10/02/2019 06:00],30.58,34.56,3.70,10.22,8.90
[10/02/2019 06:30],30.58,34.56,3.70,10.22,8.90
[10/02/2019 07:00],18.78,21.64,2.10,4.30,2.87
[10/02/2019 07:30],18.78,21.64,2.10,4.30,2.87
[10/02/2019 08:00],13.47,15.32,2.20,4.01,5.51
[10/02/2019 08:30],13.47,15.32,2.20,4.01,5.51
[10/02/2019 09:00],26.17,27.63,5.29,18.71,20.11
[10/02/2019 09:30],26.17,27.63,5.29,18.71,20.11
[10/02/2019 10:00],28.72,30.04,15.30,22.00,23.96
[10/02/2019 10:30],28.72,30.04,15.30,22.00,23.96
[10/02/2019 11:00],24.89,27.55,12.81,11.70,18.01
[10/02/2019 11:30],24.89,27.55,12.81,11.70,18.01
[10/02/2019 12:00],26.16,27.43,12.10,19.95,17.76
[10/02/2019 12:30],26.16,27.43,12.10,19.95,17.76
[10/02/2019 13:00],11.10,12.81,2.00,2.75,1.43
[10/02/2019 13:30],11.10,12.81,2.00,2.75,1.43
[10/02/2019 14:00],11.59,13.55,1.90,1.75,-0.40
[10/02/2019 14:30],11.59,13.55,1.90,1.75,-0.40
[10/02/2019 15:00],12.02,14.00,6.60,1.63,0.28
[10/02/2019 15:30],12.02,14.00,6.60,1.63,0.28
[10/02/2019 16:00],13.26,14.82,5.80,4.58,6.02
[10/02/2019 16:30],13.26,14.82,5.80,4.58,6.02
[10/02/2019 17:00],30.50,30.71,12.80,28.79,30.24
[10/02/2019 17:30],30.50,30.71,12.80,28.79,30.24
[10/02/2019 18:00],34.99,35.15,3.69,34.00,35.45
[10/02/2019 18:30],34.99,35.15,3.69,34.00,35.45
[10/02/2019 19:00],27.15,27.79,5.76,23.20,24.60
[10/02/2019 19:30],27.15,27.79,5.76,23.20,24.60
[10/02/2019 20:00],22.80,26.13,2.61,15.96,14.63
[10/02/2019 20:30],22.80,26.13,2.61,15.96,14.63
[10/02/2019 21:00],22.52,23.64,3.40,16.72,14.67
[10/02/2019 21:30],22.52,23.64,3.40,16.72,14.67
[10/02/2019 22:00],15.12,16.40,1.32,6.67,4.96
[10/02/2019 22:30],15.12,16.40,1.32,6.67,4.96
[10/02/2019 23:00],5.05,20.23,0.30,5.05,1.57
[10/02/2019 23:30],5.05,20.23,0.30,5.05,1.57
[11/02/2019 00:00],9.52,24.56,2.15,9.52,5.12
[11/02/2019 00:30],9.52,24.56,2.15,9.52,5.12
[11/02/2019 01:00],19.97,32.47,2.10,15.98,10.17
[11/02/2019 01:30],19.97,32.47,2.10,15.98,10.17
[11/02/2019 02:00],20.27,33.61,1.18,15.06,9.27
[11/02/2019 02:30],20.27,33.61,1.18,15.06,9.27
[11/02/2019 03:00],17.48,31.96,-1.20,12.95,8.90
[11/02/2019 03:30],17.48,31.96,-1.20,12.95,8.90
[11/02/2019 04:00],10.45,23.81,-1.17,8.62,7.32
[11/02/2019 04:30],10.45,23.81,-1.17,8.62,7.32
[11/02/2019 05:00],2.33,8.36,-2.55,1.22,10.16
[11/02/2019 05:30],2.33,8.36,-2.55,1.22,10.16
[11/02/2019 06:00],1.16,7.74,0.48,-2.26,16.70
[11/02/2019 06:30],1.16,7.74,0.48,-2.26,16.70
[11/02/2019 07:00],-1.93,4.76,-2.02,0.23,13.95
[11/02/2019 07:30],-1.93,4.76,-2.02,0.23,13.95
[11/02/2019 08:00],1.25,10.95,-3.95,1.51,21.54
[11/02/2019 08:30],1.25,10.95,-3.95,1.51,21.54
[11/02/2019 09:00],1.25,12.66,-32.37,1.51,21.71
[11/02/2019 09:30],1.25,12.66,-32.37,1.51,21.71
[11/02/2019 10:00],-2.03,10.06,-40.68,8.98,18.18
[11/02/2019 10:30],-2.03,10.06,-40.68,8.98,18.18
[11/02/2019 11:00],1.03,4.89,-40.33,8.79,10.54
[11/02/2019 11:30],1.03,4.89,-40.33,8.79,10.54
[11/02/2019 12:00],1.11,9.17,-66.67,20.30,15.02
[11/02/2019 12:30],1.11,9.17,-66.67,20.30,15.02
[11/02/2019 13:00],1.01,8.17,-7.07,8.06,10.05
[11/02/2019 13:30],1.01,8.17,-7.07,8.06,10.05
[11/02/2019 14:00],2.12,6.63,-5.61,5.64,5.20
[11/02/2019 14:30],2.12,6.63,-5.61,5.64,5.20
[11/02/2019 15:00],1.02,8.19,-2.56,1.23,10.17
[11/02/2019 15:30],1.02,8.19,-2.56,1.23,10.17
[11/02/2019 16:00],8.58,14.95,-3.28,1.56,24.27
[11/02/2019 16:30],8.58,14.95,-3.28,1.56,24.27
[11/02/2019 17:00],19.73,28.82,-4.17,9.92,42.23
[11/02/2019 17:30],19.73,28.82,-4.17,9.92,42.23
[11/02/2019 18:00],28.75,39.17,-2.36,14.48,54.59
[11/02/2019 18:30],28.75,39.17,-2.36,14.48,54.59
[11/02/2019 19:00],11.83,19.41,-1.74,1.69,29.80
[11/02/2019 19:30],11.83,19.41,-1.74,1.69,29.80
[11/02/2019 20:00],1.27,8.33,2.54,1.27,12.69
[11/02/2019 20:30],1.27,8.33,2.54,1.27,12.69
[11/02/2019 21:00],0.89,3.23,1.93,6.40,4.20
[11/02/2019 21:30],0.89,3.23,1.93,6.40,4.20
[11/02/2019 22:00],-1.45,3.82,1.03,8.92,2.31
[11/02/2019 22:30],-1.45,3.82,1.03,8.92,2.31
[11/02/2019 23:00],1.03,7.63,1.27,12.47,7.09
[11/02/2019 23:30],1.03,7.63,1.27,12.47,7.09
[12/02/2019 00:00],10.94,8.81,2.17,13.91,5.77
[12/02/2019 00:30],10.94,8.81,2.17,13.91,5.77
[12/02/2019 01:00],8.48,6.33,7.89,12.07,4.23
[12/02/2019 01:30],8.48,6.33,7.89,12.07,4.23
[12/02/2019 02:00],5.01,7.10,4.42,8.53,0.78
[12/02/2019 02:30],5.01,7.10,4.42,8.53,0.78
[12/02/2019 03:00],4.81,6.36,8.05,7.09,-0.51
[12/02/2019 03:30],4.81,6.36,8.05,7.09,-0.51
[12/02/2019 04:00],0.92,0.92,7.68,0.92,-4.61
[12/02/2019 04:30],0.92,0.92,7.68,0.92,-4.61
[12/02/2019 05:00],0.90,0.78,10.13,1.07,-0.16
[12/02/2019 05:30],0.90,0.78,10.13,1.07,-0.16
[12/02/2019 06:00],-0.73,0.95,12.59,-1.87,7.71
[12/02/2019 06:30],-0.73,0.95,12.59,-1.87,7.71
[12/02/2019 07:00],-1.75,1.11,12.30,-1.97,9.27
[12/02/2019 07:30],-1.75,1.11,12.30,-1.97,9.27
[12/02/2019 08:00],1.17,2.55,3.88,-1.97,8.77
[12/02/2019 08:30],1.17,2.55,3.88,-1.97,8.77
[12/02/2019 09:00],1.15,2.63,2.51,0.58,7.97
[12/02/2019 09:30],1.15,2.63,2.51,0.58,7.97
[12/02/2019 10:00],1.11,2.75,2.44,-0.99,7.62
[12/02/2019 10:30],1.11,2.75,2.44,-0.99,7.62
[12/02/2019 11:00],1.04,0.90,2.28,1.37,4.71
[12/02/2019 11:30],1.04,0.90,2.28,1.37,4.71
[12/02/2019 12:00],1.30,0.84,-1.09,1.41,1.75
[12/02/2019 12:30],1.30,0.84,-1.09,1.41,1.75
[12/02/2019 13:00],0.96,0.96,-1.09,0.96,0.96
[12/02/2019 13:30],0.96,0.96,-1.09,0.96,0.96
[12/02/2019 14:00],0.96,0.96,-2.22,0.96,1.13
[12/02/2019 14:30],0.96,0.96,-2.22,0.96,1.13
[12/02/2019 15:00],1.01,1.01,-2.34,1.01,3.24
[12/02/2019 15:30],1.01,1.01,-2.34,1.01,3.24
[12/02/2019 16:00],1.31,1.31,-2.52,1.31,6.77
[12/02/2019 16:30],1.31,1.31,-2.52,1.31,6.77
[12/02/2019 17:00],8.99,8.99,-34.68,8.99,17.76
[12/02/2019 17:30],8.99,8.99,-34.68,8.99,17.76
[12/02/2019 18:00],14.42,12.01,-30.32,24.82,26.51
[12/02/2019 18:30],14.42,12.01,-30.32,24.82,26.51
[12/02/2019 19:00],15.24,12.67,-3.19,24.56,22.82
[12/02/2019 19:30],15.24,12.67,-3.19,24.56,22.82
[12/02/2019 20:00],8.49,6.41,-1.26,15.82,10.74
[12/02/2019 20:30],8.49,6.41,-1.26,15.82,10.74
[12/02/2019 21:00],4.18,5.24,-1.16,8.49,6.76
[12/02/2019 21:30],4.18,5.24,-1.16,8.49,6.76
[12/02/2019 22:00],3.63,4.35,-1.01,6.20,1.01
[12/02/2019 22:30],3.63,4.35,-1.01,6.20,1.01
[12/02/2019 23:00],6.42,7.41,5.84,7.83,3.40
[12/02/2019 23:30],6.42,7.41,5.84,7.83,3.40
[13/02/2019 00:00],14.77,13.70,10.90,14.91,8.71
[13/02/2019 00:30],14.77,13.70,10.90,14.91,8.71
[13/02/2019 01:00],14.85,11.62,16.14,16.00,8.67
[13/02/2019 01:30],14.85,11.62,16.14,16.00,8.67
